uniqueid,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,staxids
18,Met06.1;size=3;,gi|157863080|gb|EF555594.1|,98.947,285,3,0,29,313,1,285,1.24E-140,510,460827
19,Met06.2;size=3;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
20,Met06.2;size=3;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
21,Met06.2;size=3;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
22,Met06.3;size=3;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
23,Met06.3;size=3;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
24,Met06.3;size=3;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
25,Met08.1;size=1;,gi|1803131577|gb|MN935430.1|,99.681,313,1,0,1,313,6297,6609,1.56E-159,573,9606
26,Met08.1;size=1;,gi|1802476243|gb|MN706607.1|,99.681,313,1,0,1,313,6295,6607,1.56E-159,573,9606
27,Met08.1;size=1;,gi|1802476229|gb|MN706606.1|,99.681,313,1,0,1,313,6295,6607,1.56E-159,573,9606
28,Met08.2;size=2;,gi|554518435|gb|KF479445.1|,88.818,313,35,0,1,313,23018,23330,7.85E-103,385,280754
29,Met08.2;size=2;,gi|987167499|gb|KT201148.1|,88.141,312,37,0,2,313,16350,16661,6.11E-99,372,176275
30,Met08.2;size=2;,gi|908744420|gb|KR733105.1|,88.141,312,37,0,2,313,285,596,6.11E-99,372,176275
31,Met08.3;size=1;,gi|1409970772|gb|MF928832.1|,89.776,313,32,0,1,313,95,407,7.80E-108,401,2249798
32,Met08.3;size=1;,gi|1409970752|gb|MF928822.1|,88.818,313,35,0,1,313,41,353,6.07E-104,388,2249797
33,Met08.3;size=1;,gi|589583198|gb|KC888822.1|,86.174,311,43,0,3,313,578,888,2.23E-88,337,438356
34,Met08.4;size=2;,gi|554518435|gb|KF479445.1|,88.498,313,35,1,1,312,23018,23330,1.31E-100,377,280754
35,Met08.4;size=2;,gi|987167499|gb|KT201148.1|,87.821,312,37,1,2,312,16350,16661,1.02E-96,364,176275
36,Met08.4;size=2;,gi|908744420|gb|KR733105.1|,87.821,312,37,1,2,312,285,596,1.02E-96,364,176275
37,Met09.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
38,Met09.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
39,Met09.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
40,Met100.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
41,Met100.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
42,Met100.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
43,Met101.1;size=1;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
44,Met101.1;size=1;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
45,Met101.1;size=1;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
46,Met102.2;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
47,Met102.2;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
48,Met102.2;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
49,Met103.1;size=3;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
50,Met103.1;size=3;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
51,Met103.1;size=3;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
52,Met103.2;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
53,Met103.2;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
54,Met103.2;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
55,Met103.3;size=3;,gi|1070691325|gb|KX051778.1|,99.363,314,2,0,1,314,345,658,2.03E-158,569,1899651;1899657;1899659;1899682
56,Met103.3;size=3;,gi|1739248015|dbj|LC467497.1|,99.023,307,3,0,1,307,337,643,7.34E-153,551,51522
57,Met103.3;size=3;,gi|1739248013|dbj|LC467496.1|,99.023,307,3,0,1,307,337,643,7.34E-153,551,51522
58,Met104.1;size=1;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
59,Met104.1;size=1;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
60,Met104.1;size=1;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
61,Met105.1;size=3;,gi|1068943564|gb|KR808442.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1080877
62,Met105.1;size=3;,gi|1052449589|gb|KR893485.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1080877
63,Met105.1;size=3;,gi|345540623|gb|HQ264013.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1080877
64,Met105.2;size=3;,gi|1068943564|gb|KR808442.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1080877
65,Met105.2;size=3;,gi|1052449589|gb|KR893485.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1080877
66,Met105.2;size=3;,gi|345540623|gb|HQ264013.1|,99.361,313,2,0,1,313,346,658,7.27E-158,568,1080877
67,Met106.2;size=2;,gi|332801940|gb|JF793220.1|,99.032,310,3,0,1,310,345,654,1.57E-154,556,1031123
68,Met106.2;size=2;,gi|157863082|gb|EF555595.1|,100,279,0,0,32,310,1,279,2.67E-142,516,460827
69,Met106.2;size=2;,gi|157863080|gb|EF555594.1|,99.645,282,1,0,29,310,1,282,2.67E-142,516,460827
70,Met106.3;size=2;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
71,Met106.3;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
72,Met106.3;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
73,Met107.1;size=2;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
74,Met107.1;size=2;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
75,Met107.1;size=2;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
76,Met108.1;size=2;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
77,Met108.1;size=2;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
78,Met108.1;size=2;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
79,Met108.2;size=2;,gi|1070691325|gb|KX051778.1|,99.361,313,2,0,1,313,346,658,7.27E-158,568,1899651;1899657;1899659;1899682
80,Met108.2;size=2;,gi|1739248015|dbj|LC467497.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
81,Met108.2;size=2;,gi|1739248013|dbj|LC467496.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
82,Met109.1;size=2;,gi|1070691325|gb|KX051778.1|,99.359,312,2,0,1,312,346,657,2.61E-157,566,1899651;1899657;1899659;1899682
83,Met109.1;size=2;,gi|1739248015|dbj|LC467497.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
84,Met109.1;size=2;,gi|1739248013|dbj|LC467496.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
85,Met109.2;size=2;,gi|1070691325|gb|KX051778.1|,100,314,0,0,1,314,345,658,9.37E-162,580,1899651;1899657;1899659;1899682
86,Met109.2;size=2;,gi|1739248015|dbj|LC467497.1|,99.674,307,1,0,1,307,337,643,3.39E-156,562,51522
87,Met109.2;size=2;,gi|1739248013|dbj|LC467496.1|,99.674,307,1,0,1,307,337,643,3.39E-156,562,51522
88,Met10.1;size=1;,gi|974005529|ref|NG_046423.1|,99.674,307,1,0,1,307,490,796,3.31E-156,562,9606
89,Met10.1;size=1;,gi|14626972|emb|AL450311.11|,99.674,307,1,0,1,307,49824,49518,3.31E-156,562,9606
90,Met10.1;size=1;,gi|698029027|gb|KM217160.1|,77.07,314,63,5,1,307,344,655,6.51E-39,172,1560509
91,Met10.2;size=1;,gi|332801940|gb|JF793220.1|,99.038,312,3,0,1,312,345,656,1.22E-155,560,1031123
92,Met10.2;size=1;,gi|157863082|gb|EF555595.1|,100,281,0,0,32,312,1,281,2.06E-143,520,460827
93,Met10.2;size=1;,gi|157863080|gb|EF555594.1|,99.648,284,1,0,29,312,1,284,2.06E-143,520,460827
94,Met110.1;size=1;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
95,Met110.1;size=1;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
96,Met110.1;size=1;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
97,Met111.1;size=1;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
98,Met111.1;size=1;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
99,Met111.1;size=1;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
100,Met112.1;size=3;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
101,Met112.1;size=3;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
102,Met112.1;size=3;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
103,Met112.2;size=3;,gi|1070691325|gb|KX051778.1|,99.361,313,2,0,1,313,346,658,7.27E-158,568,1899651;1899657;1899659;1899682
104,Met112.2;size=3;,gi|1739248015|dbj|LC467497.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
105,Met112.2;size=3;,gi|1739248013|dbj|LC467496.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
106,Met112.3;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
107,Met112.3;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
108,Met112.3;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
109,Met113.1;size=2;,gi|1070691325|gb|KX051778.1|,100,312,0,0,1,312,346,657,1.21E-160,577,1899651;1899657;1899659;1899682
110,Met113.1;size=2;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
111,Met113.1;size=2;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
112,Met113.2;size=2;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
113,Met113.2;size=2;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
114,Met113.2;size=2;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
115,Met114.1;size=2;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
116,Met114.1;size=2;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
117,Met114.1;size=2;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
118,Met114.2;size=2;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
119,Met114.2;size=2;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
120,Met114.2;size=2;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
121,Met115.1;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
122,Met115.1;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
123,Met115.1;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
124,Met115.2;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
125,Met115.2;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
126,Met115.2;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
127,Met115.3;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
128,Met115.3;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
129,Met115.3;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
130,Met117.1;size=4;,gi|1070691325|gb|KX051778.1|,100,312,0,0,1,312,346,657,1.21E-160,577,1899651;1899657;1899659;1899682
131,Met117.1;size=4;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
132,Met117.1;size=4;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
133,Met117.2;size=4;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
134,Met117.2;size=4;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
135,Met117.2;size=4;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
136,Met117.3;size=4;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
137,Met117.3;size=4;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
138,Met117.3;size=4;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
139,Met118.1;size=4;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
140,Met118.1;size=4;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
141,Met118.1;size=4;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
142,Met118.2;size=4;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
143,Met118.2;size=4;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
144,Met118.2;size=4;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
145,Met118.3;size=1;,gi|1564980462|emb|LR026995.1|,93.61,313,20,0,1,313,3351957,3352269,7.58E-128,468,62690
146,Met118.3;size=1;,gi|218138607|gb|FJ501249.1|,92.971,313,22,0,1,313,253,565,1.64E-124,457,78410
147,Met118.3;size=1;,gi|874509979|gb|KR952336.1|,92.652,313,23,0,1,313,18225,18537,7.63E-123,451,229535
148,Met118.4;size=4;,gi|1070691325|gb|KX051778.1|,99.361,313,2,0,1,313,346,658,7.27E-158,568,1899651;1899657;1899659;1899682
149,Met118.4;size=4;,gi|1739248015|dbj|LC467497.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
150,Met118.4;size=4;,gi|1739248013|dbj|LC467496.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
151,Met118.5;size=4;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
152,Met118.5;size=4;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
153,Met118.5;size=4;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
154,Met118.6;size=1;,gi|1616390602|gb|CP038810.1|,75.731,342,77,4,13,351,364960,364622,3.52E-37,167,2518177
155,Met118.7;size=1;,gi|1070691325|gb|KX051778.1|,95.527,313,14,0,1,313,346,658,7.47E-138,501,1899651;1899657;1899659;1899682
156,Met118.7;size=1;,gi|1770649703|gb|MK736041.1|,94.888,313,16,0,1,313,346,658,1.62E-134,490,51522
157,Met118.7;size=1;,gi|345540617|gb|HQ264010.1|,94.888,313,16,0,1,313,346,658,1.62E-134,490,51522
158,Met119.1;size=3;,gi|1070691325|gb|KX051778.1|,100,313,0,0,1,313,346,658,3.36E-161,579,1899651;1899657;1899659;1899682
159,Met119.1;size=3;,gi|1739248015|dbj|LC467497.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
160,Met119.1;size=3;,gi|1739248013|dbj|LC467496.1|,99.673,306,1,0,1,306,338,643,1.22E-155,560,51522
161,Met119.2;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
162,Met119.2;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
163,Met119.2;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
164,Met119.3;size=3;,gi|1070691325|gb|KX051778.1|,99.681,313,1,0,1,313,346,658,1.56E-159,573,1899651;1899657;1899659;1899682
165,Met119.3;size=3;,gi|1739248015|dbj|LC467497.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
166,Met119.3;size=3;,gi|1739248013|dbj|LC467496.1|,99.346,306,2,0,1,306,338,643,5.66E-154,555,51522
167,Met120.1;size=1;,gi|1070691325|gb|KX051778.1|,99.361,313,2,0,1,313,346,658,7.27E-158,568,1899651;1899657;1899659;1899682
168,Met120.1;size=1;,gi|1739248015|dbj|LC467497.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
169,Met120.1;size=1;,gi|1739248013|dbj|LC467496.1|,99.02,306,3,0,1,306,338,643,2.63E-152,549,51522
170,Met121.1;size=1;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
171,Met121.1;size=1;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
172,Met121.1;size=1;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
173,Met122.2;size=1;,gi|1135450710|gb|KY318514.1|,87.859,313,38,0,1,313,2136,2448,7.91E-98,368,655981
174,Met122.2;size=1;,gi|1803023391|gb|MK637641.1|,87.821,312,38,0,2,313,400,711,2.84E-97,366,64499
175,Met122.2;size=1;,gi|835483038|gb|KR055655.1|,87.622,307,38,0,7,313,13069,13375,1.71E-94,357,79858
176,Met124.2;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
177,Met124.2;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
178,Met124.2;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
179,Met124.3;size=1;,gi|974005490|ref|NG_046416.1|,100,322,0,0,1,322,484,805,3.44E-166,595,9606
180,Met124.3;size=1;,gi|17017833|emb|AL627169.8|,100,322,0,0,1,322,10118,9797,3.44E-166,595,9606
181,Met124.3;size=1;,gi|1547030261|ref|NG_011805.2|,87.821,312,34,4,1,309,764973,764663,3.80E-96,363,9606
182,Met124.4;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
183,Met124.4;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
184,Met124.4;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
185,Met124.5;size=1;,gi|1548994290|gb|CP034494.1|,98.947,285,3,0,25,309,3358837,3358553,1.22E-140,510,111789
186,Met124.5;size=1;,gi|1548994290|gb|CP034494.1|,98.947,285,3,0,25,309,92584155,92583871,1.22E-140,510,111789
187,Met124.5;size=1;,gi|974005567|ref|NG_046427.1|,98.947,285,3,0,25,309,510,794,1.22E-140,510,9606
188,Met124.5;size=1;,gi|299829322|gb|AC225171.3|,98.947,285,3,0,25,309,8317,8601,1.22E-140,510,9606
189,Met126.1;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
190,Met126.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
191,Met126.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
192,Met126.2;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
193,Met126.2;size=2;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
194,Met126.2;size=2;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
195,Met127.1;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
196,Met127.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
197,Met127.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
198,Met127.2;size=2;,gi|332801940|gb|JF793220.1|,98.397,312,4,1,1,311,345,656,9.43E-152,547,1031123
199,Met127.2;size=2;,gi|157863082|gb|EF555595.1|,99.288,281,1,1,32,311,1,281,1.60E-139,507,460827
200,Met127.2;size=2;,gi|157863080|gb|EF555594.1|,98.944,284,2,1,29,311,1,284,1.60E-139,507,460827
201,Met12.1;size=2;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
202,Met12.1;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
203,Met12.1;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
204,Met12.2;size=2;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
205,Met12.2;size=2;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
206,Met12.2;size=2;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
207,Met131.1;size=1;,gi|1519333064|gb|CP031392.1|,95.223,314,13,2,1,313,37741,38053,3.48E-136,496,877507
208,Met131.1;size=1;,gi|1101417601|gb|KX066187.1|,95.223,314,13,2,1,313,58295,58607,3.48E-136,496,1915362
209,Met131.1;size=1;,gi|1101417540|gb|KX066186.1|,95.223,314,13,2,1,313,58289,58601,3.48E-136,496,35717
210,Met131.2;size=3;,gi|332801940|gb|JF793220.1|,98.722,313,4,0,1,313,345,657,1.57E-154,556,1031123
211,Met131.2;size=3;,gi|157863082|gb|EF555595.1|,99.645,282,1,0,32,313,1,282,2.67E-142,516,460827
212,Met131.2;size=3;,gi|157863080|gb|EF555594.1|,99.298,285,2,0,29,313,1,285,2.67E-142,516,460827
213,Met131.3;size=3;,gi|332801940|gb|JF793220.1|,99.042,313,3,0,1,313,345,657,3.38E-156,562,1031123
214,Met131.3;size=3;,gi|157863082|gb|EF555595.1|,100,282,0,0,32,313,1,282,5.74E-144,521,460827
215,Met131.3;size=3;,gi|157863080|gb|EF555594.1|,99.649,285,1,0,29,313,1,285,5.74E-144,521,460827
216,Met131.4;size=3;,gi|332801940|gb|JF793220.1|,98.403,313,5,0,1,313,345,657,7.32E-153,551,1031123
